Belmopan,BZ,Belize,3000,-88.5,17.1
"Belo Horizonte",BR,"Minas Gerais",2091770,-43.95,-19.9333
Bengasi,LAR,Libya,NULL,20,32
Bengbu,TJ,Anhui,449245,NULL,NULL
Bengkulu,RI,Indonesia,170327,NULL,NULL
Benguela,ANG,Benguela,NULL,NULL,NULL
Benha,ET,"El Qalubiya",120000,NULL,NULL
"Beni Mellal",MA,Morocco,386505,NULL,NULL
"Beni Suef",ET,"Beni Suef",163000,NULL,NULL
"Benin City",WAN,Nigeria,203000,NULL,NULL
Benoni,RSA,"South Africa",114000,NULL,NULL
Benxi,TJ,Liaoning,768778,NULL,NULL
Berezniki,R,"Permskaya oblast",184000,NULL,NULL
Bergamo,I,Lombardia,117886,NULL,NULL
Bergen,N,Hordaland,207916,5.2,60.2
"Bergisch Gladbach",D,"Nordrhein Westfalen",105122,NULL,NULL
Berkeley,USA,California,103243,NULL,NULL
Berlin,D,Berlin,3472009,13.3,52.45
Bern,CH,BE,134393,7.3,46.6
Bertoua,CAM,Est,NULL,NULL,NULL
Besancon,F,"Franche Comte",113828,6.2,47.1
Beverley,GB,Humberside,115800,NULL,NULL
Bhatpara,IND,"Madhya Pradesh",315976,NULL,NULL
Bhavnagar,IND,Gujarat,402338,NULL,NULL
Bhilai,IND,"Madhya Pradesh",395360,NULL,NULL
Bhiwandi,IND,Maharashtra,392214,NULL,NULL
Bhopal,IND,"Madhya Pradesh",1062771,77.4,23.1
Bhubaneswar,IND,Orissa,411542,85.5,20.2
"Biala Podlaska",PL,Bialskopodlaskie,NULL,NULL,NULL
Bialystok,PL,Bialostockie,268000,NULL,NULL
Bida,WAN,Nigeria,111000,NULL,NULL
Bie,ANG,Bie,NULL,NULL,NULL
Biel,CH,BE,53308,NULL,NULL
Bielefeld,D,"Nordrhein Westfalen",324067,NULL,NULL
"Bielsko Biala",PL,Bielskie,180000,NULL,NULL
Bikaner,IND,Rajasthan,416289,NULL,NULL
Bilbao,E,"Basque Country",371876,NULL,NULL
Bilecik,TR,Bilecik,NULL,NULL,NULL
Bingol,TR,Bingol,NULL,NULL,NULL
Binjai,RI,Indonesia,181904,NULL,NULL
Birjand,IR,Khorasan,101177,NULL,NULL
Birmingham,GB,"West Midlands",1008400,-1.93333,52.4833
Birmingham,USA,Alabama,258543,-86.75,33.5667
Birobidzhan,R,"Yevreyskaya avt. oblast",NULL,NULL,NULL
Bishkek,KGZ,Kyrgyzstan,630000,74.5,42.4
Bismarck,USA,"North Dakota",44485,-100.5,46.4
Bissau,GNB,Guinea-Bissau,NULL,-15.5,11.5
Bistrita,RO,"Bistrita Nasaud",NULL,NULL,NULL
Bitlis,TR,Bitlis,NULL,NULL,NULL
Biysk,R,"Altayskiy kray",228000,NULL,NULL
Blackburn,GB,Lancashire,139500,NULL,NULL
Blackpool,GB,Lancashire,153600,NULL,NULL
Blagoveshchensk,R,"Amurskaya oblast",214000,NULL,NULL
Blida,DZ,Algeria,127284,NULL,NULL
Blitar,RI,Indonesia,119011,NULL,NULL
Bloemfontein,RSA,"South Africa",127000,NULL,NULL
Blumenau,BR,"Santa Catarina",230988,NULL,NULL
"Boa Vista",BR,Roraima,154166,-60.4,2.5
"Bocas del Toro",PA,"Bocas del Toro",NULL,NULL,NULL
Bochum,D,"Nordrhein Westfalen",401129,NULL,NULL
Bodoe,N,Nordland,34479,14.2,67.2
Bogor,RI,Indonesia,271711,NULL,NULL
Bogota,CO,"Santa Fe de Bogota (DC)",5237635,-74.0833,4.6
Bogra,BD,Bangladesh,130000,NULL,NULL
Boise,USA,Idaho,152737,-116.2,43.4
Bojnurd,IR,Khorasan,112426,NULL,NULL
"Bokara Steel City",IND,Bihar,333683,NULL,NULL
Boksburg,RSA,"South Africa",120000,NULL,NULL
Bologna,I,"Emilia Romagna",411803,11.22,44.3
Bolton,GB,"Greater Manchester",265200,NULL,NULL
Bolu,TR,Bolu,NULL,NULL,NULL
Bolzano,I,"Trentino Alto Adige",100380,11.5,46
Boma,ZRE,"Bas Zaire",135284,NULL,NULL
Bombay,IND,Maharashtra,NULL,72.8167,18.9
Bonn,D,"Nordrhein Westfalen",293072,7.5,50.4
Bordeaux,F,Aquitaine,210336,-0.4,44.51
Borujerd,IR,Lorestan,201016,NULL,NULL
Boston,USA,Massachusetts,558394,-71.0333,42.3667
Botosani,RO,Botosani,NULL,NULL,NULL
Bottrop,D,"Nordrhein Westfalen",119669,NULL,NULL
Botucatu,BR,"Sao Paulo",100826,NULL,NULL
"Boulogne Billancourt",F,"Ile de France",101743,NULL,NULL
Bournemouth,GB,Dorset,159900,NULL,NULL
Bracknell,GB,Berkshire,101900,NULL,NULL
Bradford,GB,"West Yorkshire",481700,NULL,NULL
Braga,P,Braga,63033,NULL,NULL
"Braganca Paulista",BR,"Sao Paulo",109863,NULL,NULL
Brahmanbaria,BD,Bangladesh,125000,NULL,NULL
Braila,RO,Braila,243000,NULL,NULL
Braintree,GB,Essex,121800,NULL,NULL
Brampton,CDN,Ontario,234445,NULL,NULL
Brasilia,BR,"Distrito Federal",1817001,-47.9167,-15.8667
Brasov,RO,Brasov,353000,NULL,NULL
Bratislava,SK,Slovakia,NULL,NULL,NULL
Bratsk,R,"Irkutskaya oblast",257000,NULL,NULL
Braunschweig,D,Niedersachsen,254130,NULL,NULL
Brazzaville,RCB,Congo,NULL,15.25,-4.25
Breda,NL,"Noord Brabant",166616,NULL,NULL
Bregenz,A,Vorarlberg,NULL,9.45,47.3
Bremen,D,Bremen,549182,8.5,53.7
Bremerhaven,D,Bremen,130847,NULL,NULL
Brescia,I,Lombardia,196766,NULL,NULL
Brest,F,Bretagne,147956,NULL,NULL
Bridgend,GB,Bridgend,NULL,NULL,NULL
Bridgeport,USA,Connecticut,137990,-73.1833,41.1833
Bridgetown,BDS,Barbados,10000,-59.4,13.1
Brighton,GB,"East Sussex",154400,NULL,NULL
Brisbane,AUS,Queensland,1302000,153.033,-27.4667
Bristol,GB,Avon,399200,NULL,NULL
Brno,CZ,Jihomoravsky,393000,NULL,NULL
